node,gene
391,YBR105C
392,YBR106W
393,YBR107C
394,YBR108W
395,YBR109C
396,YBR109W-A
397,YBR110W
398,YBR111C
399,YBR111W-A
400,YBR112C
401,YBR113W
402,YBR114W
403,YBR115C
404,YBR116C
405,YBR117C
406,YBR118W
407,YBR119W
408,YBR120C
409,YBR121C
410,YBR121C-A
411,YBR122C
412,YBR123C
413,YBR124W
414,YBR125C
415,YBR126C
416,YBR126W-A
417,YBR126W-B
418,YBR127C
419,YBR128C
420,YBR129C
421,YBR130C
422,YBR131C-A
423,YBR131W
424,YBR132C
425,YBR133C
426,YBR134W
427,YBR135W
428,YBR136W
429,YBR137W
430,YBR138C
431,YBR139W
432,YBR140C
433,YBR141C
434,YBR141W-A
435,YBR142W
436,YBR143C
437,YBR144C
438,YBR145W
439,YBR146W
440,YBR147W
441,YBR148W
442,YBR149W
443,YBR150C
444,YBR151W
445,YBR152W
446,YBR153W
447,YBR154C
448,YBR155W
449,YBR156C
450,YBR157C
451,YBR158W
452,YBR159W
453,YBR160W
454,YBR161W
455,YBR162C
456,YBR162W-A
457,YBR163W
458,YBR164C
459,YBR165W
460,YBR166C
461,YBR167C
462,YBR168W
463,YBR169C
464,YBR170C
465,YBR171W
466,YBR172C
467,YBR173C
468,YBR174C
469,YBR175W
470,YBR176W
471,YBR177C
472,YBR178W
473,YBR179C
474,YBR180W
475,YBR181C
476,YBR182C
477,YBR182C-A
478,YBR183W
479,YBR184W
480,YBR185C
481,YBR186W
482,YBR187W
483,YBR188C
484,YBR189W
485,YBR190W
486,YBR191W
487,YBR191W-A
488,YBR192W
489,YBR193C
490,YBR194W
491,YBR195C
492,YBR196C
493,YBR196C-A
494,YBR196C-B
495,YBR197C
496,YBR198C
497,YBR199W
498,YBR200W
499,YBR200W-A
500,YBR201C-A
501,YBR201W
502,YBR202W
503,YBR203W
504,YBR204C
505,YBR205W
506,YBR206W
507,YBR207W
508,YBR208C
509,YBR209W
510,YBR210W
511,YBR211C
512,YBR212W
513,YBR213W
514,YBR214W
515,YBR215W
516,YBR216C
517,YBR217W
518,YBR218C
519,YBR219C
520,YBR220C
521,YBR221C
522,YBR221W-A
523,YBR222C
524,YBR223C
525,YBR223W-A
526,YBR224W
527,YBR225W
528,YBR226C
529,YBR227C
